timesteps,walltime,reward_mean,reward_std,episode_count,fps
10000,69.83990359306335,-0.931126594543457,9.536338806152344,10,143.1846191865766
20000,194.68944787979126,-0.3317452669143677,7.555749416351318,20,102.72770413499127
30000,313.8080701828003,-0.10377731919288635,4.535542964935303,30,95.59983585675258
40000,425.74326634407043,0.07016529142856598,3.5638344287872314,40,93.95333564165742
50000,558.938360452652,-0.03771331161260605,2.5864105224609375,50,89.45530229756977
60000,661.6123261451721,-0.010829919949173927,1.0632662773132324,60,90.68754862773626
70000,737.133335351944,-0.016214367002248764,0.8398632407188416,70,94.96246695528772
80000,802.5841860771179,-0.004811433609575033,0.47116518020629883,80,99.67801682092082
90000,853.3990957736969,-0.0430610328912735,1.7792551517486572,90,105.46062263917148
100000,887.2172470092773,-0.057309187948703766,1.7099930047988892,100,112.7119657976558
110000,985.6422758102417,-0.09925910830497742,1.4465558528900146,110,111.60235584413738
120000,1022.986275434494,-0.029175730422139168,1.4058635234832764,120,117.30362653109131
130000,1103.12894821167,-0.05802682042121887,1.2305489778518677,130,117.84660370915715
140000,1159.1854691505432,-0.027265822514891624,1.0039312839508057,140,120.77446079667708
150000,1240.9417052268982,0.042475178837776184,2.4096293449401855,150,120.87594394498448
160000,1340.8739182949066,-0.0004282873123884201,0.7659663558006287,160,119.32516384796308
170000,1435.768979549408,0.0017766497330740094,0.22089609503746033,170,118.40344959490047
180000,1540.185631275177,0.15464846789836884,3.660410165786743,180,116.86902951494963
190000,1554.8913004398346,-0.052751846611499786,1.5865627527236938,190,122.1950370075737
200000,1582.3057975769043,0.05147998034954071,2.7179596424102783,200,126.39781785940114
210000,1600.108148097992,0.07082334905862808,2.6568078994750977,210,131.24112907594508
220000,1655.6477596759796,0.06502798199653625,2.5876071453094482,220,132.87850553613853
230000,1669.9560000896454,-0.028084736317396164,2.4593043327331543,230,137.7281796572205
240000,1692.4528036117554,-0.035794492810964584,1.191457748413086,240,141.80602229369785
250000,1789.3083140850067,0.004580835811793804,0.5263294577598572,250,139.71879414635245
260000,1851.9353930950165,0.10707487910985947,3.8821334838867188,260,140.39366652282578
